algorithm,checkpoint,step,model_path,mean_reward,std_reward,min_reward,max_reward,mean_caught,mean_missed,mean_coverage,mean_false
DQN,wildlife_dqn_280000_steps.zip,280000,models/dqn/wildlife_dqn_280000_steps.zip,1602.5398,1021.9230,838.3648,3573.9000,0.0000,5.4000,11.8000,20.0000
DQN,wildlife_dqn_285000_steps.zip,285000,models/dqn/wildlife_dqn_285000_steps.zip,2039.4246,950.3253,1124.5082,3658.5476,0.0000,5.8000,19.4000,23.0000
DQN,wildlife_dqn_290000_steps.zip,290000,models/dqn/wildlife_dqn_290000_steps.zip,1932.6926,1215.5622,631.3242,3517.4624,0.0000,9.0000,13.8000,21.4000
DQN,wildlife_dqn_295000_steps.zip,295000,models/dqn/wildlife_dqn_295000_steps.zip,2644.6131,1345.6436,46.9606,3699.9000,0.0000,7.6000,6.8000,0.8000
DQN,wildlife_dqn_300000_steps.zip,300000,models/dqn/wildlife_dqn_300000_steps.zip,2198.6720,1555.0454,-61.2828,4411.8776,0.0000,8.6000,25.2000,9.6000
DQN,wildlife_dqn_305000_steps.zip,305000,models/dqn/wildlife_dqn_305000_steps.zip,2735.0190,616.1209,1752.1022,3662.1954,0.0000,9.4000,13.0000,41.4000
DQN,wildlife_dqn_310000_steps.zip,310000,models/dqn/wildlife_dqn_310000_steps.zip,2972.3302,1779.0828,587.3104,5454.5356,0.0000,9.2000,9.6000,23.4000
DQN,wildlife_dqn_315000_steps.zip,315000,models/dqn/wildlife_dqn_315000_steps.zip,1936.1292,1188.4464,600.5758,3921.3588,0.0000,10.4000,16.6000,31.4000
DQN,wildlife_dqn_320000_steps.zip,320000,models/dqn/wildlife_dqn_320000_steps.zip,2635.0352,1473.4730,-70.4946,4032.0734,0.0000,8.0000,11.4000,18.6000
DQN,wildlife_dqn_325000_steps.zip,325000,models/dqn/wildlife_dqn_325000_steps.zip,2899.0286,1053.7397,1413.7654,3984.8792,0.0000,7.8000,13.4000,34.6000
