algorithm,best_step,best_mean,model_path,policy_kwargs.net_arch,learning_rate,gamma,batch_size,buffer_size,learning_starts,max_grad_norm,tau,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,n_envs,n_steps,ent_coef,vf_coef,clip_range,n_epochs,gae_lambda,policy_kwargs.:type:,policy_kwargs.:serialized:,policy_kwargs.optimizer_class,policy_kwargs.optimizer_kwargs
DQN,695000,4113.5,models/dqn/wildlife_dqn_695000_steps.zip,"[256, 256]",0.0001,0.99,64.0,50000.0,1000.0,10.0,1.0,"{':type:': ""<class 'stable_baselines3.common.type_aliases.TrainFreq'>"", ':serialized:': 'gAWVYQAAAAAAAACMJXN0YWJsZV9iYXNlbGluZXMzLmNvbW1vbi50eXBlX2FsaWFzZXOUjAlUcmFpbkZyZXGUk5RLBGgAjBJUcmFpbkZyZXF1ZW5jeVVuaXSUk5SMBHN0ZXCUhZRSlIaUgZQu'}",1000.0,0.1,0.01,1,,,,,,,,,,
PPO,810000,4142.94,models/ppo/wildlife_ppo_810000_steps.zip,"[256, 256]",0.00025,0.99,64.0,,,0.5,,,,,,1,2048.0,0.01,0.5,"{':type:': ""<class 'function'>"", ':serialized:': 'gAWVVAQAAAAAAACMF2Nsb3VkcGlja2xlLmNsb3VkcGlja2xllIwOX21ha2VfZnVuY3Rpb26Uk5QoaACMDV9idWlsdGluX3R5cGWUk5SMCENvZGVUeXBllIWUUpQoSwFLAEsASwFLBUsTQzSVAZcAdAEAAAAAAAAAAAAAAgCJAXwApgEAAKsBAAAAAAAAAACmAQAAqwEAAAAAAAAAAFMAlE6FlIwFZmxvYXSUhZSMEnByb2dyZXNzX3JlbWFpbmluZ5SFlIxjL2hvbWUvdW11Z2FiZWthemkvbWluaWNvbmRhMy9lbnZzL21sL2xpYi9weXRob24zLjExL3NpdGUtcGFja2FnZXMvc3RhYmxlX2Jhc2VsaW5lczMvY29tbW9uL3V0aWxzLnB5lIwIPGxhbWJkYT6UjCFnZXRfc2NoZWR1bGVfZm4uPGxvY2Fscz4uPGxhbWJkYT6US2FDGviAAKVlqE6oTtA7TdEsTtQsTtEmT9QmT4AAlEMAlIwOdmFsdWVfc2NoZWR1bGWUhZQpdJRSlH2UKIwLX19wYWNrYWdlX1+UjBhzdGFibGVfYmFzZWxpbmVzMy5jb21tb26UjAhfX25hbWVfX5SMHnN0YWJsZV9iYXNlbGluZXMzLmNvbW1vbi51dGlsc5SMCF9fZmlsZV9flIxjL2hvbWUvdW11Z2FiZWthemkvbWluaWNvbmRhMy9lbnZzL21sL2xpYi9weXRob24zLjExL3NpdGUtcGFja2FnZXMvc3RhYmxlX2Jhc2VsaW5lczMvY29tbW9uL3V0aWxzLnB5lHVOTmgAjBBfbWFrZV9lbXB0eV9jZWxslJOUKVKUhZR0lFKUaACMEl9mdW5jdGlvbl9zZXRzdGF0ZZSTlGgjfZR9lChoGowIPGxhbWJkYT6UjAxfX3F1YWxuYW1lX1+UjCFnZXRfc2NoZWR1bGVfZm4uPGxvY2Fscz4uPGxhbWJkYT6UjA9fX2Fubm90YXRpb25zX1+UfZSMDl9fa3dkZWZhdWx0c19flE6MDF9fZGVmYXVsdHNfX5ROjApfX21vZHVsZV9flGgbjAdfX2RvY19flE6MC19fY2xvc3VyZV9flGgAjApfbWFrZV9jZWxslJOUaAIoaAcoSwFLAEsASwFLAUsTQwiVAZcAiQFTAJRoCSmMAV+UhZRoDowEZnVuY5SMGWNvbnN0YW50X2ZuLjxsb2NhbHM+LmZ1bmOUS4VDCPiAANgPEogKlGgSjAN2YWyUhZQpdJRSlGgXTk5oHylSlIWUdJRSlGglaEF9lH2UKGgajARmdW5jlGgpjBljb25zdGFudF9mbi48bG9jYWxzPi5mdW5jlGgrfZRoLU5oLk5oL2gbaDBOaDFoM0c/yZmZmZmZmoWUUpSFlIwXX2Nsb3VkcGlja2xlX3N1Ym1vZHVsZXOUXZSMC19fZ2xvYmFsc19flH2UdYaUhlIwhZRSlIWUaEpdlGhMfZR1hpSGUjAu'}",10.0,0.95,,,,
A2C,90000,3524.04,models/a2c/wildlife_a2c_90000_steps.zip,"[256, 256]",0.0007,0.99,,,,0.5,,,,,,1,5.0,0.01,0.5,,,1.0,<class 'dict'>,gAWVlgAAAAAAAAB9lCiMCG5ldF9hcmNolF2UKE0AAU0AAWWMD29wdGltaXplcl9jbGFzc5SME3RvcmNoLm9wdGltLnJtc3Byb3CUjAdSTVNwcm9wlJOUjBBvcHRpbWl6ZXJfa3dhcmdzlH2UKIwFYWxwaGGURz/vrhR64UeujANlcHOURz7k+LWI42jxjAx3ZWlnaHRfZGVjYXmUSwB1dS4=,<class 'torch.optim.rmsprop.RMSprop'>,"{'alpha': 0.99, 'eps': 1e-05, 'weight_decay': 0}"
