step,action,reward,total_reward,battery,coverage_pct,threats_caught,threats_missed,false_alerts
108,Dispatch Alert,-30.327,51.322,0.731,27.0,2,0,6
109,Recharge,-5.327,45.995,0.731,27.0,2,0,6
110,Investigate,59.066,105.061,0.725,27.0,3,0,6
111,Move East,2.672,107.733,0.721,28.0,3,0,6
112,Recharge,-5.328,102.405,0.721,28.0,3,0,6
113,Move South,2.672,105.077,0.717,29.0,3,0,6
114,Move North,-0.329,104.748,0.713,29.0,3,0,6
115,Move South,-0.329,104.419,0.709,29.0,3,0,6
116,Move West,3.171,107.589,0.705,30.0,3,0,6
117,Dispatch Alert,-35.33,72.259,0.7,30.0,3,0,7
118,Move North,-0.33,71.929,0.696,30.0,3,0,7
119,Recharge,-5.33,66.598,0.696,30.0,3,0,7
120,Investigate,-0.331,66.267,0.69,30.0,3,0,7
121,Investigate,-0.332,65.936,0.684,30.0,3,0,7
122,Move North,-0.332,65.604,0.68,30.0,3,0,7
123,Move North,-0.332,65.271,0.676,30.0,3,0,7
124,Move West,2.667,67.939,0.672,31.0,3,0,7
125,Move South,2.667,70.605,0.668,32.0,3,0,7
126,Move East,-0.334,70.272,0.664,32.0,3,0,7
127,Move West,-0.334,69.938,0.66,32.0,3,0,7
128,Investigate,-0.335,69.603,0.654,32.0,3,0,7
129,Recharge,-5.335,64.269,0.654,32.0,3,0,7
130,Move South,-0.335,63.934,0.65,32.0,3,0,7
131,Move South,2.665,66.598,0.646,33.0,3,0,7
132,Investigate,-0.336,66.262,0.64,33.0,3,0,7
133,Move East,-0.336,65.926,0.636,33.0,3,0,7
134,Move North,-0.337,65.589,0.632,33.0,3,0,7
135,Dispatch Alert,-40.337,25.252,0.627,33.0,3,0,8
136,Move North,-0.338,24.914,0.623,33.0,3,0,8
137,Move South,-0.338,24.576,0.619,33.0,3,0,8
138,Investigate,-0.339,24.237,0.613,33.0,3,0,8
139,Investigate,-0.339,23.898,0.607,33.0,3,0,8
140,Move West,-0.34,23.558,0.603,33.0,3,0,8
141,Move West,2.66,26.218,0.599,34.0,3,0,8
142,Investigate,-0.341,25.877,0.593,34.0,3,0,8
143,Move East,-0.341,25.536,0.589,34.0,3,0,8
144,Move North,-0.342,25.195,0.585,34.0,3,0,8
