algorithm,mean_reward,std_reward,min_reward,max_reward,mean_steps,mean_caught,mean_missed,mean_false_alerts,mean_coverage_pct,mean_battery_left,mean_recharges,action_pct_Move_North,action_pct_Move_South,action_pct_Move_East,action_pct_Move_West,action_pct_Investigate,action_pct_Dispatch_Alert,action_pct_Recharge
Random,-1669.19,1767.35,-5398.0,-234.55,164.8,1.2,3.1,22.2,29.7,45.1,3.0,12.9,14.6,14.1,15.5,13.8,14.8,14.2
DQN,1544.69,1248.0,-12.01,3899.95,133.9,0.0,2.9,0.2,8.7,37.1,0.0,12.1,12.4,5.6,5.3,5.2,59.4,0.0
PPO,941.15,1381.19,-51.67,3899.95,144.4,0.0,2.6,1.0,6.3,37.1,0.0,61.2,0.0,0.0,3.1,0.0,35.7,0.0
